time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-07-19T21:39:20.380Z,36.697,-121.3413333,4.24,3.93,mw,34,85,0.06306,0.08,nc,nc71103759,2017-02-10T17:08:42.700Z,"12km S of Ridgemark, California",earthquake,0.2,0.38,,4,reviewed,nc,nc
2016-07-19T21:38:38.910Z,36.6925,-121.3296667,5.87,4.22,mw,77,29,0.05225,0.1,nc,nc72663506,2017-03-17T23:53:40.304Z,"13km SSE of Ridgemark, California",earthquake,0.12,0.54,,8,reviewed,nc,nc
2016-07-18T09:27:25.020Z,37.0295,-121.1981667,2.02,3.68,mw,107,49,0.04865,0.12,nc,nc72662921,2018-10-06T04:39:01.307Z,"26km NE of Hollister, California",earthquake,0.1,0.52,,10,reviewed,nc,nc
2016-07-18T05:53:31.160Z,36.6898333,-121.3251667,4.91,3.84,mw,74,53,0.04775,0.11,nc,nc72662816,2017-03-24T05:02:15.123Z,"14km SSE of Ridgemark, California",earthquake,0.12,0.44,,6,reviewed,nc,nc
2015-11-13T07:36:07.300Z,36.776,-121.2906667,8.62,3.51,ml,77,72,0.04144,0.08,nc,nc72554936,2017-03-17T23:43:18.371Z,"7km ESE of Ridgemark, California",earthquake,0.12,0.24,0.205,65,reviewed,nc,nc
2015-10-19T23:21:17.680Z,37.7918333,-121.9635,7.4,3.6,mw,161,56,0.007207,0.15,nc,nc72540765,2018-02-23T20:36:25.212Z,"1km NE of San Ramon, California",earthquake,0.1,0.1,,5,reviewed,nc,nc
2015-08-17T13:49:17.320Z,37.8366667,-122.2321667,4.69,4.01,mw,270,12,0.01171,0.15,nc,nc72507396,2018-05-15T19:49:44.415Z,"1km N of Piedmont, California",earthquake,0.08,0.11,,9,reviewed,nc,nc
2015-07-21T09:41:14.480Z,37.5776667,-121.974,8.37,3.98,mw,282,16,0.009009,0.17,nc,nc72490826,2018-05-16T21:44:20.057Z,"3km NNE of Fremont, California",earthquake,0.08,0.12,,4,reviewed,nc,nc
2015-05-22T02:53:00.780Z,38.4316667,-122.2503333,12.83,4.09,mw,172,90,0.008108,0.19,nc,nc72453246,2017-03-17T23:36:14.313Z,"10km ENE of Yountville, California",earthquake,0.17,0.23,,5,reviewed,nc,nc
2015-05-06T14:32:04.070Z,37.9661667,-122.0433333,12.12,3.51,mw,197,36,0.009009,0.19,nc,nc72444186,2017-03-17T23:35:18.134Z,"1km NNE of Pleasant Hill, California",earthquake,0.12,0.18,,4,reviewed,nc,nc
2015-05-03T22:13:19.500Z,37.9665,-122.0436667,13.14,3.64,mw,267,30,0.01351,0.21,nc,nc72439615,2017-04-30T01:41:29.528Z,"2km SW of Concord, California",earthquake,0.14,0.18,,3,reviewed,nc,nc
2015-04-02T07:06:03.870Z,37.792,-121.9868333,9.89,3.61,mw,232,45,0.006306,0.14,nc,nc72424876,2018-02-16T21:45:42.379Z,"1km NNW of San Ramon, California",earthquake,0.09,0.12,,6,reviewed,nc,nc
2015-01-20T13:21:36.970Z,36.4333333,-120.971,9.39,4.43,mw,98,58,0.03964,0.1,nc,nc72383481,2017-03-17T23:29:55.265Z,"27km ENE of Greenfield, California",earthquake,0.15,0.3,,6,reviewed,nc,nc
2014-12-06T02:16:07.370Z,36.7941667,-121.5168333,6.43,3.92,mw,138,20,0.04505,0.13,nc,nc72360741,2017-03-17T23:28:13.137Z,"6km SSE of San Juan Bautista, California",earthquake,0.1,0.24,,5,reviewed,nc,nc
2014-11-20T06:26:49.290Z,36.806,-121.5358333,6.23,4.23,mw,143,22,0.03694,0.15,nc,nc72350156,2017-03-17T23:27:10.708Z,"4km S of San Juan Bautista, California",earthquake,0.1,0.22,,6,reviewed,nc,nc
2014-11-20T06:21:27.650Z,36.8076667,-121.5303333,5.608,3.64,mw,76,24,0.04595,0.09,nc,nc72350151,2017-03-17T23:26:39.371Z,"4km S of San Juan Bautista, California",earthquake,0.12,0.26,,5,reviewed,nc,nc
2014-09-09T18:17:57.980Z,36.6813333,-121.3111667,5.848,3.58,mw,79,30,0.03423,0.09,nc,nc72295271,2017-03-17T23:19:52.381Z,"15km SSE of Ridgemark, California",earthquake,0.12,0.31,,4,reviewed,nc,nc
2014-08-26T12:33:22.230Z,38.1661667,-122.2998333,10.405,3.73,ml,7,163,0.04865,0.05,nc,nc71095504,2017-03-17T21:12:00.058Z,"3km WSW of American Canyon, California",earthquake,1.69,0.81,0.119,13,reviewed,nc,nc
2014-08-26T12:33:16.840Z,38.1785,-122.3008333,12.577,3.9,mw,260,41,0.05946,0.15,nc,nc72284586,2017-03-17T23:19:22.550Z,"3km W of American Canyon, California",earthquake,0.11,0.16,,7,reviewed,nc,nc
2014-08-24T12:47:12.550Z,38.2383333,-122.3425,8.439,3.6,mw,279,21,0.02432,0.18,nc,nc72283201,2017-03-17T23:18:51.071Z,"8km SW of Napa, California",earthquake,0.09,0.19,,3,reviewed,nc,nc
2014-08-24T10:24:44.240Z,38.2598333,-122.3373333,10.343,3.51,ml,164,71,0.04505,0.12,nc,nc72282751,2017-03-17T23:18:16.563Z,"6km SW of Napa, California",earthquake,0.1,0.17,0.114,10,reviewed,nc,nc
2014-08-24T10:21:45.440Z,38.235,-122.3198333,9.001,3.81,ml,114,50,0.03423,0.17,nc,nc72282716,2017-03-17T23:17:43.158Z,"7km SSW of Napa, California",earthquake,0.18,0.32,0.056,4,reviewed,nc,nc
2014-08-24T10:20:44.070Z,38.2151667,-122.3123333,11.12,6.02,mw,369,28,0.03604,0.18,nc,nc72282711,2019-02-23T08:37:48.958Z,"South Napa",earthquake,0.11,0.15,,0,reviewed,nc,nc
2014-08-21T04:33:49.630Z,36.6868333,-121.0131667,7.822,3.84,mw,92,54,0.04324,0.23,nc,nc72281046,2017-03-17T23:16:12.782Z,"34km ESE of Ridgemark, California",earthquake,0.27,0.7,,7,reviewed,nc,nc
2014-04-04T04:04:54.970Z,38.4493333,-122.254,7.831,3.63,mw,205,67,0.00991,0.2,nc,nc72193350,2017-03-17T23:13:12.021Z,"10km ENE of Yountville, California",earthquake,0.14,0.28,,4,reviewed,nc,nc
2013-12-06T06:44:55.030Z,38.6761667,-122.3896667,9.628,3.65,mw,102,64,0.04414,0.17,nc,nc72115885,2017-03-17T22:59:58.734Z,"12km NNE of Angwin, California",earthquake,0.2,0.35,,3,reviewed,nc,nc
2013-12-02T10:05:21.790Z,36.9395,-121.5356667,7.83,3.65,mw,102,22,0.02613,0.15,nc,nc72113080,2017-03-17T22:59:04.746Z,"7km SSE of Gilroy, California",earthquake,0.14,0.34,,4,reviewed,nc,nc
2013-06-28T03:52:39.490Z,36.7536667,-121.4701667,6.396,3.87,mw,150,23,0.01081,0.22,nc,nc72016695,2017-03-17T22:50:23.517Z,"11km WSW of Ridgemark, California",earthquake,0.15,0.2,,4,reviewed,nc,nc
2013-05-10T05:12:24.890Z,37.3735,-121.7235,8.19,3.5,mw,259,36,0.03604,0.15,nc,nc71988946,2017-03-17T22:44:30.539Z,"8km E of East Foothills, California",earthquake,0.1,0.2,,3,reviewed,nc,nc
2013-01-15T15:14:30.960Z,36.5633333,-121.0746667,7.967,3.52,mw,89,34,0.03243,0.13,nc,nc71922121,2017-03-17T22:37:35.343Z,"Central California",earthquake,0.14,0.31,,5,reviewed,nc,nc
2012-10-29T04:25:16.260Z,36.5915,-121.2008333,8.347,3.94,mw,105,37,0.01892,0.11,nc,nc71870540,2017-03-17T22:35:01.696Z,"Central California",earthquake,0.11,0.27,,5,reviewed,nc,nc
2012-06-03T17:31:37.000Z,37.2613333,-121.6356667,8.085,3.52,mw,243,30,0.08108,0.16,nc,nc71795731,2017-03-17T22:19:07.401Z,"Northern California",earthquake,0.11,0.26,,5,reviewed,nc,nc
2012-04-06T03:16:20.010Z,36.5571667,-121.1186667,5.582,3.69,mw,96,29,0.05586,0.09,nc,nc71759475,2017-03-17T22:14:49.246Z,"Central California",earthquake,0.11,0.28,,4,reviewed,nc,nc
2012-03-05T13:33:20.450Z,37.9268333,-122.3103333,8.093,3.99,mw,235,13,0.001802,0.19,nc,nc71746766,2017-10-11T20:00:20.154Z,"San Francisco Bay area, California",earthquake,0.09,0.14,,9,reviewed,nc,nc
2012-02-16T17:13:20.580Z,38.0781667,-122.234,8.247,3.54,mw,248,21,0.00991,0.2,nc,nc71736656,2017-03-17T22:13:09.447Z,"San Francisco Bay area, California",earthquake,0.09,0.14,,2,reviewed,nc,nc
2012-02-16T02:09:14.050Z,38.0766667,-122.2328333,8.827,3.55,mw,252,21,0.008108,0.2,nc,nc71736351,2017-03-17T22:12:37.286Z,"San Francisco Bay area, California",earthquake,0.11,0.18,,4,reviewed,nc,nc
2011-10-27T12:36:44.460Z,37.8666667,-122.2605,7.99,3.62,mw,257,13,0.007207,0.17,nc,nc71671256,2017-03-17T22:08:34.642Z,"San Francisco Bay area, California",earthquake,0.09,0.13,,4,reviewed,nc,nc
2011-10-21T03:16:05.260Z,37.8608333,-122.2566667,7.939,3.84,mw,264,14,0.004505,0.17,nc,nc71667591,2017-03-17T22:07:12.924Z,"San Francisco Bay area, California",earthquake,0.09,0.15,,6,reviewed,nc,nc
